id,genderId,genderName,categoryId,categoryName,colorId,colorName,name,image
4729,1,Boys,20,Tshirts,7,Green,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,4729.jpg
8322,1,Boys,20,Tshirts,3,Blue,Doodle Boy's Route 66 Biker Blue Teen Kidswear,8322.jpg
34036,1,Boys,14,Shirts,3,Blue,Palm Tree Boys Check Blue Shirt,34036.jpg
8325,1,Boys,20,Tshirts,28,Yellow,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,8325.jpg
40947,1,Boys,20,Tshirts,22,Red,Gini and Jony Boys Core Red T-shirt,40947.jpg
34031,1,Boys,14,Shirts,3,Blue,Gini and Jony Boys Check Blue Shirt,34031.jpg
40978,1,Boys,20,Tshirts,22,Red,Gini and Jony Boys United Red T-shirt,40978.jpg
34038,1,Boys,14,Shirts,22,Red,Gini and Jony Boys Check Red Shirt,34038.jpg
40985,1,Boys,20,Tshirts,27,White,Gini and Jony Boys United White T-shirt,40985.jpg
31111,1,Boys,9,Jeans,2,Black,Gini and Jony Boys Solid Black Jeans,31111.jpg
10054,1,Boys,20,Tshirts,3,Blue,Reebok Kids Kkr Boy's Premium Blue Jerseys,10054.jpg
17615,1,Boys,20,Tshirts,27,White,Doodle Boys living Upto White Tshirt,17615.jpg
4727,1,Boys,20,Tshirts,3,Blue,Disney Kids Boy's Regatta Annual Blue Teen Kidswear,4727.jpg
40982,1,Boys,20,Tshirts,27,White,Gini and Jony Boys Core White T-shirt,40982.jpg
40949,1,Boys,20,Tshirts,27,White,Gini and Jony Boys Around the World White T-shirt,40949.jpg
25516,1,Boys,20,Tshirts,22,Red,Doodle Kids Boys Airfeild Red T-Shirt,25516.jpg
31116,1,Boys,15,Shorts,,Grey,Gini and Jony Boys Grey Shorts,31116.jpg
15575,1,Boys,20,Tshirts,28,Yellow,Chhota Bheem Kids Boys Best Friends Group TShirt,15575.jpg
37625,1,Boys,20,Tshirts,27,White,Madagascar3 Boys White Printed T-Shirt,37625.jpg
34054,1,Boys,3,Capris,3,Blue,Palm Tree Boys Washed Blue 3/4 Length Pants,34054.jpg
40922,1,Boys,8,Jackets,3,Blue,Gini and Jony Boys Rodeo Blue Jacket,40922.jpg
29176,1,Boys,15,Shorts,9,Khaki,United Colors of Benetton Boys Khaki Shorts,29176.jpg
8340,1,Boys,20,Tshirts,2,Black,Doodle Boy's Volleyball Champion Black White Kidswear,8340.jpg
38494,1,Boys,20,Tshirts,7,Green,Gini and Jony Boys United Green T-shirt,38494.jpg
34053,1,Boys,3,Capris,28,Yellow,Gini and Jony Boys Yellow 3/4 Length Pants,34053.jpg
34261,1,Boys,20,Tshirts,22,Red,Gini and Jony Boys Printed Red T-shirt,34261.jpg
15572,1,Boys,20,Tshirts,18,Orange,Chhota Bheem Kids Boys Warrior Bheem TShirt,15572.jpg
37622,1,Boys,20,Tshirts,22,Red,Madagascar3 Boys Red Printed T-Shirt,37622.jpg
40126,1,Boys,15,Shorts,27,White,Gini and Jony Boys Boxer White Shorts,40126.jpg
38493,1,Boys,20,Tshirts,3,Blue,Gini and Jony Boys Core Blue T-shirt,38493.jpg
39317,1,Boys,20,Tshirts,27,White,Gini and Jony Boys Printed White T-shirt,39317.jpg
40925,1,Boys,9,Jeans,3,Blue,Gini and Jony Boys Comics Blue Jeans,40925.jpg
36199,1,Boys,20,Tshirts,2,Black,Gini Jony Boys Polo Black T-Shirt,36199.jpg
34098,1,Boys,14,Shirts,14,Multi,Doodle Boys Check Multi Coloured Shirt,34098.jpg
30603,1,Boys,15,Shorts,12,Maroon,Nike Boys Basketball Red Shorts,30603.jpg
39745,1,Boys,15,Shorts,3,Blue,Gini Jony Boys Blue Shorts,39745.jpg
34096,1,Boys,20,Tshirts,22,Red,Doodle Boys Printed Red T-shirt,34096.jpg
39319,1,Boys,15,Shorts,1,Beige,Gini and Jony Boys Beige Shorts,39319.jpg
8349,1,Boys,20,Tshirts,7,Green,Doodle Boy's I love Driving Green Kidswear,8349.jpg
50715,1,Boys,20,Tshirts,27,White,Doodle Boys White Printed T-Shirt,50715.jpg
33278,1,Boys,9,Jeans,3,Blue,Gini and Jony Boys Washed Blue Jeans,33278.jpg
40983,1,Boys,20,Tshirts,27,White,Gini and Jony Boys United White T-shirt,40983.jpg
40977,1,Boys,20,Tshirts,7,Green,Gini and Jony Boys Core Green T-shirt,40977.jpg
17613,1,Boys,20,Tshirts,22,Red,Doodle Boys Catch Me Red Tshirt,17613.jpg
40948,1,Boys,20,Tshirts,27,White,Gini and Jony Boys Rodeo T-shirt,40948.jpg
4721,1,Boys,20,Tshirts,22,Red,Disney Kids Boy's Royal Sailing Red Teen Kidswear,4721.jpg
34039,1,Boys,14,Shirts,22,Red,Palm Tree Boys Check Red Shirt,34039.jpg
40984,1,Boys,20,Tshirts,27,White,Gini and Jony Boys United White T-shirt,40984.jpg
4726,1,Boys,20,Tshirts,27,White,Disney Kids Boy's Regatta Annual White Teen Kidswear,4726.jpg
17614,1,Boys,20,Tshirts,2,Black,Doodle Boys Cycle Black Tshirt,17614.jpg
31110,1,Boys,9,Jeans,,Grey,Gini and Jony Boys Washed Grey Jeans,31110.jpg
8324,1,Boys,20,Tshirts,27,White,Doodle Boy's Athletic 77 Dept White Kidswear,8324.jpg
40979,1,Boys,20,Tshirts,28,Yellow,Gini and Jony Boys Core Yellow T-shirt,40979.jpg
34030,1,Boys,14,Shirts,3,Blue,Gini and Jony Boys Check Blue Shirt,34030.jpg
8323,1,Boys,20,Tshirts,27,White,Doodle Boy's Athletic 77 Dept White Kidswear,8323.jpg
4728,1,Boys,20,Tshirts,15,Navy Blue,Disney Kids Boy's Crew Sea Life Sialing Navy Teen Kidswear,4728.jpg
34037,1,Boys,14,Shirts,3,Blue,Palm Tree Boys Check Blue Shirt,34037.jpg
37222,1,Boys,14,Shirts,15,Navy Blue,United Colors of Benetton Boys Check Navy Blue Shirt,37222.jpg
40142,1,Boys,20,Tshirts,7,Green,Gini and Jony Boys Core Green T-shirt,40142.jpg
39318,1,Boys,20,Tshirts,22,Red,Gini and Jony Boys Red T-shirt,39318.jpg
8348,1,Boys,20,Tshirts,4,Brown,Doodle Boy's Little Monsters Rocking Rust Kidswear,8348.jpg
50714,1,Boys,20,Tshirts,27,White,Doodle Boys white Printed T-Shirt,50714.jpg
34097,1,Boys,20,Tshirts,7,Green,Doodle Boys Printed Green T-shirt,34097.jpg
40129,1,Boys,14,Shirts,15,Navy Blue,Gini and Jony BoysCore Navy Blue Shirt,40129.jpg
30602,1,Boys,15,Shorts,2,Black,Nike Boys Basketball Black Shorts,30602.jpg
50713,1,Boys,20,Tshirts,28,Yellow,Doodle Boys Yellow Printed T-Shirt,50713.jpg
39320,1,Boys,15,Shorts,15,Navy Blue,Gini and Jony Boys Navy Blue Shorts,39320.jpg
33283,1,Boys,9,Jeans,2,Black,Gini and Jony Boys Black Jeans,33283.jpg
15573,1,Boys,20,Tshirts,27,White,Chhota Bheem Kids Boys Main Hoon Bheem TShirt,15573.jpg
37623,1,Boys,20,Tshirts,3,Blue,Madagascar 3 Boys Blue Printed T-shirt,37623.jpg
31144,1,Boys,20,Tshirts,20,Pink,Gini and Jony Boys Printed Pink T-shirt,31144.jpg
21580,1,Boys,20,Tshirts,3,Blue,Chhota Bheem Kids-Boys Printed Pale Blue Tshirt,21580.jpg
34260,1,Boys,20,Tshirts,22,Red,Gini and Jony Boys Printed Red T-shirt,34260.jpg
34052,1,Boys,3,Capris,28,Yellow,Gini and Jony Boys Yellow 3/4 Length Pants,34052.jpg
33277,1,Boys,9,Jeans,3,Blue,Gini and Jony Boys Washed Blue Jeans,33277.jpg
40924,1,Boys,9,Jeans,3,Blue,Gini and Jony Boys Jeans Blue Jeans,40924.jpg
34099,1,Boys,20,Tshirts,27,White,Doodle Boys Printed White T-shirt,34099.jpg
38492,1,Boys,20,Tshirts,28,Yellow,Gini and Jony Boys Core Yellow T-shirt,38492.jpg
39316,1,Boys,20,Tshirts,27,White,Gini and Jony Boys Printed White T-shirt,39316.jpg
34055,1,Boys,3,Capris,3,Blue,Palm Tree Boys Washed Blue 3/4 Length Pants,34055.jpg
31143,1,Boys,20,Tshirts,7,Green,Gini and Jony Boys Printed Green T-shirt,31143.jpg
41234,1,Boys,15,Shorts,2,Black,Gini and Jony Boys Black Shorts,41234.jpg
15574,1,Boys,20,Tshirts,21,Purple,Chhota Bheem Kids Boys Best Friends Group TShirt,15574.jpg
37624,1,Boys,20,Tshirts,15,Navy Blue,Madagascar3 Boys Navy Blue T-Shirt,37624.jpg
8341,1,Boys,20,Tshirts,7,Green,Doodle Boy's Volleyball Champion Green White Kidswear,8341.jpg
29177,1,Boys,15,Shorts,3,Blue,United Colors of Benetton Boys Blue Shorts,29177.jpg
